Source;Target;Weight;Type
67;79;1;undirected
40;88;1;undirected
61;82;1;undirected
27;46;2;undirected
15;20;4;undirected
287;366;1;undirected
2;84;1;undirected
19;366;6;undirected
149;291;1;undirected
26;94;2;undirected
240;340;1;undirected
22;75;1;undirected
229;289;1;undirected
111;271;2;undirected
35;195;3;undirected
106;293;2;undirected
266;273;5;undirected
68;101;1;undirected
18;56;8;undirected
26;98;2;undirected
83;111;1;undirected
30;81;1;undirected
36;89;2;undirected
95;276;2;undirected
43;116;1;undirected
13;20;3;undirected
55;237;1;undirected
102;112;1;undirected
215;217;1;undirected
28;229;2;undirected
43;233;1;undirected
18;35;2;undirected
19;262;1;undirected
46;62;1;undirected
78;83;1;undirected
94;98;2;undirected
63;111;1;undirected
2;32;3;undirected
60;68;4;undirected
36;67;7;undirected
24;118;1;undirected
15;83;5;undirected
275;293;4;undirected
17;18;5;undirected
19;287;1;undirected
34;78;1;undirected
46;293;1;undirected
32;84;5;undirected
101;114;4;undirected
17;56;5;undirected
113;243;1;undirected
20;103;1;undirected
49;89;2;undirected
115;128;1;undirected
21;263;1;undirected
15;16;6;undirected
71;226;1;undirected
10;104;1;undirected
67;89;2;undirected
13;66;1;undirected
78;101;1;undirected
58;93;3;undirected
22;293;1;undirected
149;179;1;undirected
37;47;1;undirected
49;87;2;undirected
280;289;1;undirected
61;100;3;undirected
118;120;3;undirected
21;46;2;undirected
1;99;5;undirected
18;195;2;undirected
42;68;1;undirected
21;27;3;undirected
20;66;1;undirected
93;223;6;undirected
224;237;1;undirected
16;271;4;undirected
82;274;3;undirected
1;253;1;undirected
62;106;1;undirected
46;66;1;undirected
111;112;1;undirected
72;260;3;undirected
42;63;1;undirected
288;289;2;undirected
68;102;1;undirected
26;33;1;undirected
78;121;2;undirected
22;46;1;undirected
56;195;2;undirected
17;195;2;undirected
32;101;2;undirected
85;108;2;undirected
33;94;2;undirected
20;112;1;undirected
35;56;2;undirected
60;82;1;undirected
22;119;1;undirected
46;275;1;undirected
32;78;1;undirected
65;91;1;undirected
79;102;2;undirected
5;307;1;undirected
95;268;1;undirected
13;113;2;undirected
113;239;2;undirected
48;128;2;undirected
84;101;1;undirected
62;293;4;undirected
0;68;1;undirected
72;113;1;undirected
60;161;1;undirected
88;266;1;undirected
68;71;1;undirected
1;185;1;undirected
78;229;2;undirected
15;276;1;undirected
20;276;1;undirected
12;120;1;undirected
1;232;2;undirected
13;103;1;undirected
28;78;2;undirected
20;83;3;undirected
93;99;1;undirected
133;234;1;undirected
55;70;1;undirected
29;101;1;undirected
60;229;3;undirected
100;284;4;undirected
289;343;1;undirected
63;68;4;undirected
88;117;1;undirected
106;275;1;undirected
51;66;1;undirected
62;124;1;undirected
40;275;2;undirected
9;11;2;undirected
108;113;1;undirected
112;282;1;undirected
56;119;2;undirected
51;119;1;undirected
36;225;1;undirected
29;123;1;undirected
18;119;2;undirected
79;283;1;undirected
70;265;2;undirected
46;106;1;undirected
32;271;1;undirected
106;243;1;undirected
40;266;8;undirected
19;207;1;undirected
15;285;1;undirected
250;260;1;undirected
106;276;1;undirected
16;111;1;undirected
20;111;1;undirected
43;89;3;undirected
15;111;1;undirected
98;122;1;undirected
43;49;3;undirected
95;192;1;undirected
10;230;2;undirected
90;243;1;undirected
95;347;1;undirected
0;75;2;undirected
22;71;1;undirected
5;283;1;undirected
20;338;1;undirected
66;103;1;undirected
46;126;2;undirected
11;127;2;undirected
71;102;6;undirected
60;73;5;undirected
238;290;1;undirected
78;123;1;undirected
46;140;1;undirected
60;180;1;undirected
95;280;1;undirected
22;40;1;undirected
90;113;1;undirected
15;78;1;undirected
16;83;2;undirected
6;270;2;undirected
60;101;1;undirected
20;282;1;undirected
119;293;1;undirected
21;352;1;undirected
68;229;5;undirected
63;229;2;undirected
2;97;1;undirected
243;293;1;undirected
17;35;4;undirected
13;338;1;undirected
68;85;1;undirected
21;140;1;undirected
22;266;1;undirected
68;288;1;undirected
95;231;1;undirected
1;135;1;undirected
72;106;1;undirected
67;144;1;undirected
12;49;1;undirected
62;275;6;undirected
46;116;1;undirected
65;139;1;undirected
79;112;1;undirected
34;68;1;undirected
280;288;1;undirected
76;82;1;undirected
27;140;1;undirected
3;254;2;undirected
43;87;2;undirected
24;120;1;undirected
12;43;1;undirected
16;276;1;undirected
40;273;5;undirected
146;168;2;undirected
94;122;1;undirected
124;275;1;undirected
16;20;3;undirected
